排名,电影名称,详情,评分,评价人数,短评
132,小森林 夏秋篇,导演: 森淳一 Junichi Mori   主演: 桥本爱 Ai Hashimoto / 三浦贵大 Takahir...                            2014 / 日本 / 剧情,9.0,462523,
133,新世界,导演: 朴勋政 Hoon-jung Park   主演: 李政宰 Jung-Jae Lee / 崔岷植 Min-sik...                            2013 / 韩国 / 剧情 犯罪,8.9,507817,
134,天使爱美丽,导演: 让-皮埃尔·热内 Jean-Pierre Jeunet   主演: 奥黛丽·塔图 Audrey Tau...                            2001 / 法国 德国 / 剧情 喜剧 爱情,8.7,,
135,傲慢与偏见,导演: 乔·怀特 Joe Wright   主演: 凯拉·奈特莉 Keira Knightley / 马修·...                            2005 / 法国 英国 美国 / 剧情 爱情,8.7,896287,
136,一个叫欧维的男人决定去死,导演: 汉内斯·赫尔姆 Hannes Holm   主演: 罗夫·拉斯加德 Rolf Lassgård...                            2015 / 瑞典 / 剧情,8.9,548270,
137,侧耳倾听,导演: 近藤喜文 Yoshifumi Kondo   主演: 本名阳子 Youko Honna / 小林桂树 K...                            1995 / 日本 / 剧情 爱情 动画,8.9,,
138,怪兽电力公司,导演: 彼特·道格特 Pete Docter / 大卫·斯沃曼 David Silverman   主演: 约...                            2001 / 美国 / 儿童 喜剧 动画 奇幻 冒险,8.8,,
139,玩具总动员3,导演: 李·昂克里奇 Lee Unkrich   主演: 汤姆·汉克斯 Tom Hanks / 蒂姆·艾...                            2010 / 美国 / 喜剧 动画 奇幻 冒险,8.9,574285,
140,教父3,导演: 弗朗西斯·福特·科波拉 Francis Ford Coppola   主演: 阿尔·帕西诺 A...                            1990 / 美国 / 剧情 犯罪,9.0,,
141,请以你的名字呼唤我,导演: 卢卡·瓜达尼诺 Luca Guadagnino   主演: 艾米·汉莫 Armie Hammer / ...                            2017 / 意大利 法国 巴西 美国 / 剧情 爱情 同性,8.8,801258,
142,色，戒,导演: 李安 Ang Lee   主演: 梁朝伟 Tony Leung Chiu Wai / 汤唯 Wei Tang / ...                            2007 / 中国台湾 中国大陆 美国 中国香港 / 剧情 爱情 情色,8.7,928643,
143,幸福终点站,导演: 史蒂文·斯皮尔伯格 Steven Spielberg   主演: 汤姆·汉克斯 Tom Hanks...                            2004 / 美国 / 喜剧 剧情 爱情,8.8,624756,
144,哪吒闹海,导演: 王树忱 Shuchen Wang / 严定宪 Dingxian Yan   主演: 梁正晖 Zhenghui ...                            1979 / 中国大陆 / 冒险 动画 奇幻,9.2,,
145,被解救的姜戈,导演: 昆汀·塔伦蒂诺 Quentin Tarantino   主演: 杰米·福克斯 Jamie Foxx /...                            2012 / 美国 / 剧情 动作 西部 冒险,8.8,671743,
146,九品芝麻官,导演: 王晶 Jing Wong   主演: 周星驰 Stephen Chow / 吴孟达 Man Tat Ng / ...                            1994 / 中国香港 / 剧情 喜剧 古装,8.8,,
147,小森林 冬春篇,导演: 森淳一 Junichi Mori   主演: 桥本爱 Ai Hashimoto / 三浦贵大 Takahir...                            2015 / 日本 / 剧情,9.0,411290,
148,釜山行,导演: 延尚昊 Sang-ho Yeon   主演: 孔侑 Yoo Gong / 郑有美 Yu-mi Jung / 马...                            2016 / 韩国 / 动作 惊悚 灾难,8.6,1316642,
